date,headline
20060829,Sensex closes at three-months high; at 11;706
20060830,Sensex opens in the green; up 28 points
20060830,Sensex closes 17 points up; at 11;723
20060831,Sensex opens in the green; up 30 pts
20060831,Sensex closes in the red at 11;699
20060901,Sensex closes 78 points up at 11;778
20060904,Sensex closes 136 points up at 11;914
20060905,Sensex closes in the red at 11;904
20060906,Sensex closes 28 points up at 11;933
20060907,Sensex opens in the red at 11;893
20060908,Sensex closes 64 points up at 11;918
20060911,Sensex plunges; market breadth negative
20060911,Sensex plunges; market breadth negative
20060912,For sensex; 12k is long way off
20060912,Will sensex scale 12;000 in near-term?
20060912,Sensex closes 110 points up at 11;660
20060913,Sensex gains over 200 points
20060913,Sensex closes 233 points up at 11;893
20060914,Sensex hits 12k; touches four-months high
20060914,Sensex closes 79.23 points up at 11;973
20060914,Sensex breaches 12k barrier; ends lower
20060915,Sensex closes 36.57 points up at 12;009
20060915,Sensex closes above 12;000-mark
20060918,Sensex closes 61.71 points up at 12;071
20060919,Sensex opens in the green at 12;103
20060919,Sensex closes 100.83 pts down at 11;970
20060920,Market strong; Sensex crosses 12k mark
20060920,Sensex closes 138.67 pts up at 12;109
20060921,Sensex opens in the green at 12;167
20060921,Sensex closes 165.13 points up at 12;274
20060922,Sensex closes in the red at 12;236
20060925,Sensex closes 62.87 pts down at 12;173.91
20060926,Sensex firm; Satyam; Bajaj Auto stocks up
20060926,Sensex closes 147.28 points up at 12;321
20060927,Sensex hits 12;400; touches 3 months high
20060927,Sensex closes 45.72 pts up at 12;366.91
20060928,Sensex opens in the green at 12;388.66
20060928,Sensex closes 13.83 pts up at 12;380.74
20060929,Sensex opens in the green at 12;414
20060929,Sensex closes 73.68 pts up at 12;454
20061002,Only select stocks push sensex
20061003,Sensex opens in the green at 12;479.98
20061004,Sensex in the red; sheds off gains
20061004,Sensex closes 162 pts down; Nifty 54 pts down
20061005,Sensex dips 162 points on profit-taking
20061005,Sensex surges tracking firm global markets
20061005,Sensex firm; banking; auto stocks up
20061005,Sensex surges over 200 pts at 12;412
20061005,Sensex closes 185 pts up at 12;389
20061006,Sensex in the red; pares gains in volatile trade
20061006,Sensex closes 16 pts down at 12;372.81
20061009,Sensex down by over 111 pts in early trade
20061009,Sensex closes 6.98 pts down at 12;365
20061010,Sensex opens in the green at 12;416
20061010,Sensex closes 2 points down at 12;363
20061011,Sensex strong on surge in IT stocks
20061011,Sensex in the red; pares earlier gains
20061011,Sensex closes 10 pts down at 12;353.49
20061012,Sensex opens in the green at 12;387
20061012,Sensex zooms 184 pts; closes above 12.5k
20061013,Sensex hits all time high; crosses 12;671
20061013,Sensex hits all-time high at 12;691 pts
20061013,Sensex crosses 12;700 mark; creates history
20061016,Sensex opens in the green at 12;785
20061016,Market firm; Sensex above 100 pts
20061016,Sensex surges; IT stocks lead the rally
20061016,Sensex surges but mkt-breadth negative
20061016,Sensex inches towards 13k-mark
20061016,Sensex closes at new high; eyes 13k-mark
20061017,Sensex smells 13K; gains 192 pts to touch 12;928
20061019,Sensex on fire; Nasdaq is all lit up
20061023,Sensex closes 113 pts down at 12;623
20061026,Sensex recovers 89 points in early trade
